,Date,Date (Month),Hurricane,Lat (N),Lat from 20,Long (W),Long from 80,Max_Wind,Month from 9,Start
0,18510625,6,1,28.0,8.0,94.8,14.799999999999997,80,3, HU
1,18510705,7,1,22.2,2.1999999999999993,97.6,17.599999999999994,80,2, HU
2,18510710,7,0,12.0,8.0,60.0,20.0,50,2, TS
3,18510816,8,1,13.4,6.6,48.0,32.0,50,1, TS
4,18510913,9,0,32.5,12.5,73.5,6.5,50,0, TS
5,18511016,10,0,28.7,8.7,78.0,2.0,50,1, TS
6,18520819,8,1,20.5,0.5,67.1,12.900000000000006,60,1, TS
7,18520905,9,1,17.0,3.0,64.1,15.900000000000006,70,0, HU
8,18520909,9,1,26.4,6.399999999999999,90.4,10.400000000000006,70,0, HU
9,18520922,9,1,16.1,3.8999999999999986,58.5,21.5,50,0, TS
10,18521006,10,1,17.0,3.0,73.8,6.200000000000003,90,1, HU
11,18530805,8,0,32.5,12.5,69.0,11.0,50,1, TS
12,18530810,8,0,12.0,8.0,60.0,20.0,50,1, TS
13,18530830,8,1,12.1,7.9,23.2,56.8,50,1, TS
14,18530908,9,1,37.0,17.0,53.0,27.0,100,0, HU
15,18530921,9,0,20.0,0.0,95.0,15.0,50,0, TS
16,18530926,9,1,25.8,5.800000000000001,62.0,18.0,50,0, TS
17,18530928,9,0,15.0,5.0,37.0,43.0,50,0, TS
18,18531019,10,1,27.5,7.5,78.5,1.5,70,1, HU
19,18540625,6,1,26.0,6.0,92.5,12.5,60,3, TS
20,18540823,8,0,33.0,13.0,55.0,25.0,60,1, TS
21,18540907,9,1,26.4,6.399999999999999,76.6,3.4000000000000057,110,0, HU
22,18540918,9,1,28.2,8.2,93.6,13.599999999999994,90,0, HU
23,18541020,10,0,25.0,5.0,67.6,12.400000000000006,50,1, TS
24,18550806,8,1,22.2,2.1999999999999993,98.0,18.0,90,1, HU
25,18550810,8,1,44.0,24.0,42.0,38.0,90,1, HU
26,18550811,8,1,12.5,7.5,83.0,3.0,70,1, HU
27,18550824,8,0,12.0,8.0,55.9,24.1,50,1, TS
28,18550915,9,1,26.7,6.699999999999999,89.1,9.099999999999994,70,0, HU
29,18560809,8,1,25.0,5.0,83.9,3.9000000000000057,70,1, HU
30,18560813,8,1,12.1,7.9,56.1,23.9,70,1, HU
31,18560819,8,0,32.5,12.5,75.5,4.5,50,1, TS
32,18560821,8,0,23.0,3.0,82.5,2.5,50,1, TS
33,18560825,8,1,21.0,1.0,69.8,10.200000000000003,70,1, HU
34,18560918,9,1,32.0,12.0,48.8,31.200000000000003,50,0, TS
35,18570630,6,0,34.0,14.0,74.5,5.5,50,3, TS
36,18570906,9,1,26.5,6.5,73.0,7.0,50,0, TS
37,18570922,9,1,32.5,12.5,73.5,6.5,70,0, HU
38,18570924,9,1,16.0,4.0,54.7,25.299999999999997,50,0, TS
39,18580612,6,1,19.0,1.0,85.5,5.5,70,3, HU
40,18580805,8,1,45.0,25.0,40.0,40.0,70,1, HU
41,18580914,9,1,25.2,5.199999999999999,84.6,4.599999999999994,60,0, TS
42,18580917,9,1,18.4,1.6000000000000014,41.4,38.6,80,0, HU
43,18580922,9,1,21.9,1.8999999999999986,74.0,6.0,50,0, TS
44,18581021,10,1,21.5,1.5,73.6,6.400000000000006,50,1, TS
45,18590701,7,1,21.5,1.5,97.5,17.5,90,2, HU
46,18590817,8,1,38.5,18.5,67.0,13.0,90,1, HU
47,18590902,9,1,17.3,2.6999999999999993,59.7,20.299999999999997,70,0, HU
48,18590912,9,1,35.5,15.5,57.5,22.5,90,0, HU
49,18590915,9,1,28.0,8.0,89.0,9.0,70,0, HU
50,18591002,10,1,17.5,2.5,75.4,4.599999999999994,80,1, HU
51,18591016,10,0,25.1,5.100000000000001,75.1,4.900000000000006,60,1, TS
52,18591024,10,1,20.2,0.1999999999999993,93.3,13.299999999999997,50,1, TS
53,18600808,8,1,27.9,7.899999999999999,84.1,4.099999999999994,50,1, TS
54,18600824,8,1,28.2,8.2,77.1,2.9000000000000057,60,1, TS
55,18600911,9,1,40.0,20.0,50.5,29.5,70,0, HU
56,18600911,9,1,25.1,5.100000000000001,83.8,3.799999999999997,90,0, HU
57,18600918,9,0,22.2,2.1999999999999993,66.1,13.900000000000006,50,0, TS
58,18600930,9,1,22.4,2.3999999999999986,91.0,11.0,50,0, TS
59,18601020,10,1,23.5,3.5,70.6,9.400000000000006,70,1, HU
60,18610706,7,1,15.1,4.9,58.5,21.5,50,2, TS
61,18610813,8,1,20.5,0.5,70.0,10.0,50,1, TS
62,18610825,8,1,34.4,14.399999999999999,62.0,18.0,80,1, HU
63,18610917,9,1,28.5,8.5,50.0,30.0,70,0, HU
64,18610927,9,1,28.5,8.5,77.5,2.5,70,0, HU
65,18611006,10,0,20.0,0.0,46.0,34.0,60,1, TS
66,18611007,10,0,35.3,15.299999999999997,75.3,4.700000000000003,50,1, TS
67,18611101,11,1,25.5,5.5,82.1,2.0999999999999943,60,2, TS
68,18620615,6,0,32.0,12.0,75.6,4.400000000000006,50,3, TS
69,18620818,8,1,28.8,8.8,71.5,8.5,90,1, HU
70,18620912,9,1,22.2,2.1999999999999993,56.0,24.0,60,0, TS
71,18621006,10,0,13.0,7.0,61.0,19.0,50,1, TS
72,18621014,10,1,33.0,13.0,69.6,10.400000000000006,70,1, HU
73,18621122,11,0,10.5,9.5,79.5,0.5,60,2, TS
74,18630808,8,1,37.7,17.700000000000003,50.8,29.200000000000003,90,1, HU
75,18630818,8,1,39.4,19.4,58.5,21.5,90,1, HU
76,18630819,8,1,26.5,6.5,66.6,13.400000000000006,70,1, HU
77,18630827,8,1,29.5,9.5,75.5,4.5,90,1, HU
78,18630909,9,1,18.5,1.5,60.2,19.799999999999997,60,0, TS
79,18630916,9,0,24.7,4.699999999999999,79.9,0.09999999999999432,50,0, TS
80,18630918,9,0,22.5,2.5,96.5,16.5,50,0, TS
81,18630926,9,0,31.1,11.100000000000001,70.1,9.900000000000006,50,0, TS
82,18630929,9,0,28.5,8.5,95.7,15.700000000000003,60,0, TS
83,18640716,7,1,30.8,10.8,76.0,4.0,70,2, HU
84,18640725,7,0,24.0,4.0,89.0,9.0,60,2, TS
85,18640826,8,1,14.8,5.199999999999999,54.5,25.5,70,1, HU
86,18640905,9,0,33.0,13.0,72.5,7.5,50,0, TS
87,18641022,10,1,28.5,8.5,72.0,8.0,50,1, TS
88,18650530,5,0,13.0,7.0,80.0,0.0,50,4, TS
89,18650630,6,0,26.0,6.0,97.5,17.5,50,3, TS
90,18650820,8,0,30.3,10.3,78.3,1.7000000000000028,50,1, TS
91,18650906,9,1,16.0,4.0,55.5,24.5,90,0, HU
92,18650907,9,0,29.7,9.7,92.0,12.0,60,0, TS
93,18650928,9,1,25.5,5.5,69.5,10.5,70,0, HU
94,18651018,10,1,9.5,10.5,80.4,0.4000000000000057,50,1, TS
95,18660711,7,1,28.0,8.0,87.3,7.299999999999997,90,2, HU
